Serial,Song,Artist
1,It's Always You,Cody Simpson
2,Sneakers,Chloe Lilac
3,Seasons,Greyson Chance
4,west texas,Greyson Chance
5,On Our Knees (feat. R.O),Konoba
6,Sugar Mama,Jack Symes
7,April,Tadashi
8,shut up,Greyson Chance
9,Older,Sasha Sloan
10,timekeeper,Greyson Chance
11,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled
12,I Don't Mind (feat. Juicy J),Usher
13,One Man Can Change The World,Big Sean
14,Down,Marian Hill
15,One Time,Marian Hill
16,Let Her Go,Passenger
17,Say You Won't Let Go,James Arthur
18,Counting Stars,OneRepublic
19,white roses,Greyson Chance
20,comethru,Jeremy Zucker
21,Twenty One,Greyson Chance
22,shut up,Greyson Chance
23,State Lines,Novo Amor
24,you were good to me,Jeremy Zucker
25,It's Always You,Cody Simpson
26,Japanese Denim,Daniel Caesar
27,Seasons,Greyson Chance
28,In My Head,Peter Manos
29,please,Chelsea Cutler
30,Falling in Love,Julian Lamadrid
31,better off,Jeremy Zucker
32,Best Part (feat. Daniel Caesar),H.E.R.
33,comethru,Jeremy Zucker
34,3:00 AM,Finding Hope
35,Saturday Nights,Khalid
36,all the kids are depressed,Jeremy Zucker
37,sometimes,Chelsea Cutler
38,comethru (with Bea Miller),Jeremy Zucker
39,Older,Sasha Sloan
40,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled
41,I Don't Mind (feat. Juicy J),Usher
42,One Man Can Change The World,Big Sean
43,Down,Marian Hill
44,One Time,Marian Hill
45,Let Her Go,Passenger
46,Say You Won't Let Go,James Arthur
47,Counting Stars,OneRepublic
48,2AM (feat. Tory Lanez & Davido),Casanova
49,A Little Too Not Over You,David Archuleta
50,Dancing Queen,ABBA
51,Gimme! Gimme! Gimme! (A Man After Midnight),ABBA
52,The Winner Takes It All,ABBA
53,Whataya Want from Me,Adam Lambert
54,Lost Stars,Adam Levine
55,Locked Away,R. City
56,Addicted,Enrique Iglesias
57,Africa,Karl Wolf
58,Airplanes,B.o.B
59,Airplanes Part II,B.o.B
60,Shots,Imagine Dragons
61,I Bet My Life,Imagine Dragons
62,Radioactive,Imagine Dragons
63,It's Time,Imagine Dragons
64,Demons,Imagine Dragons
65,On Top Of The World,Imagine Dragons
66,All of Me,John Legend
67,Amnesia,5 Seconds of Summer
68,Angel in Blue Jeans,Train
69,Back to Me,Daya
70,Bartender,Lady Antebellum
71,Beautiful Day,U2
72,Beautiful Now,Zedd
73,Beautiful,Akon
74,Right Now (Na Na Na),Akon
75,I'm So Paid,Akon
76,Bananza (Belly Dancer),Akon
77,Story of My Life,One Direction
78,Night Changes,One Direction
79,History,One Direction
80,Steal My Girl,One Direction
81,Budapest,George Ezra
82,Can't Feel My Face,The Weeknd
83,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake
84,The Scientist,Coldplay
85,Let Her Go,Passenger
86,Photograph,Ed Sheeran
87,Stay With Me,Sam Smith
88,Cheerleader - Felix Jaehn Remix Radio Edit,OMI
89,Drop In the Ocean,OMI
90,Dadam (My Heartbeat Goes Like),Dawn Jay
