Serial,Song,Artist
1,"Class-Sikh Maut, Vol. II",Prabh Deep
2,Maya,Prabh Deep
3,Farak,DIVINE
4,Azadi,Dub Sharma
5,Sher Aaya Sher,DIVINE
6,Kaam 25 - Sacred Games,DIVINE
7,Mere Gully Mein,Ranveer Singh
8,Apna Time Aayega,Ranveer Singh
9,Jungli Sher,DIVINE
10,,
11,Kadak Ban,Emiway Bantai
12,Dehshat,Seedhe Maut
13,Zeher,Kaam Bhaari
14,Kaam Bhaari,Kaam Bhaari
15,Asli Hip Hop,Ranveer Singh
16,Emiway (Out of Sampark),Emiway Bantai
17,Kala,Prabh Deep
18,Pankh,Seedhe Maut
19,Celoso,Lele Pons
20,Downtown,Anitta
21,Lento,Rudy Mancuso
22,Échame La Culpa,Luis Fonsi
23,X,Nicky Jam
24,Mi Gente,J Balvin
25,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake
26,Trap (feat. Maluma),Shakira
27,Soy Peor,Bad Bunny
28,Dile Que Tu Me Quieres,Ozuna
29,Felices los 4,Maluma
30,Chantaje (feat. Maluma),Shakira
31,Aquí Estaré,Sky
32,Linda,Projota
33,El Perdón - Forgiveness,Nicky Jam
34,Vou Morrer Sozinho,Jão
35,Love,Finding Hope
36,Someone New,Hozier
37,Body Like A Back Road,Sam Hunt
38,I Like Me Better,Lauv
39,Silence,Marshmello
40,3:00 AM,Finding Hope
41,Work Song,Hozier
42,From Eden,Hozier
43,To Be Alone - Live,Hozier
44,More Than A Fool,RIVVRS
45,Painting Roses,Dresses
46,Don't Wanna Know,RIVVRS
47,Broken Bones,KALEO
48,Be Alright,Dean Lewis
49,Fly Away With Me,Tom Walker
50,Riptide,Vance Joy
51,Mess Is Mine,Vance Joy
52,Let It Go,James Bay
53,There's a Light,Jay Malinowski
54,Life Is a Gun,Jay Malinowski
55,We've All Got to Be Going Somewhere,Jay Malinowski
56,There for You,Martin Garrix
57,Slow Hands,Niall Horan
58,The Night We Met,Lord Huron
59,Easy,Next Town Down
60,Slow Motion,SLANDER
61,Breathe,Lauv
62,I Don't Know About You,Chris Lane
63,Best Shot,Jimmie Allen
64,Easy Love,Lauv
65,Electric (feat. Khalid),Alina Baraz
66,Slacks,Valley
67,Honey Hold Me,Morningsiders
68,Count on Me - EP Version,Bruno Mars
69,In My Head,Peter Manos
70,All You Got Is Gold,The Great Escape
71,Hey Lil' Mama,Juke Ross
72,Panama,Quinn XCII
73,It's Always You,Cody Simpson
74,Good To Go,Josh Woodward
75,Pay,Aftertheparty
76,Love No More,ASTN
77,I've Changed for You,Kina
78,Close Your Eyes,Silver Trees
79,"If I Ain’t Got You - James Bay Spotify Session 2015 ""Alicia Keys Cover""",James Bay
80,Rumor,Lee Brice
81,Talk You Out Of It,Florida Georgia Line
82,Beautiful Crazy,Luke Combs
83,Chasing Fire,Lauv
84,Smoke & Mirrors,Konoba
85,Bitter and Sick,One Two
86,I See Fire,Ed Sheeran
87,The Feeling,Travis Atreo
88,"June, After Dark",Elliot Root
89,cold/mess,Prateek Kuhad
90,Sunflower,Rex Orange County
91,Jet Lag,Gavin Haley
92,Blood,The Middle East
93,Chasing Cars,Snow Patrol
94,Look At You,Seth Ennis
95,Homesick,Kane Brown
96,Love That About You,Filmore
97,Keeping Score (feat. Kelly Clarkson),Dan + Shay
98,Slower,Filmore
99,Tum Jab Paas,Prateek Kuhad
100,Tune Kaha,Prateek Kuhad
101,"Dil Beparvah - The Dewarists, Season 5",Ankur Tewari
102,The Few Things,JP Saxe
103,Easily,Bruno Major
104,Hold It Down,Noah Kahan
105,Give Me A Reason,The Rosebuds
106,Young Blood,Noah Kahan
107,Sham,Amit Trivedi
108,Raat Raazi,Prateek Kuhad
109,Dil Mere,The Local Train
110,Bloom - Bonus Track,The Paper Kites
111,Hands Down,The Greeting Committee
112,"I Hear Your Song, Sweetness",George Taylor
113,Hold My Girl,George Ezra
114,Oh Love,Prateek Kuhad
115,Chahe Ya Na Chahe,Prateek Kuhad
116,Tu Hi Hai,Amit Trivedi
117,Sakhiyaan,Maninder Buttar
118,Younger,Ruel
119,Best Part (feat. H.E.R.),Daniel Caesar
120,There's No Way (feat. Julia Michaels),Lauv
121,Choo Lo,The Local Train
122,Shallow,Lady Gaga
123,Chills,James Barker Band
124,Aaoge Tum Kabhi,The Local Train
125,Itna Na Karo Humein Pyar - Ronit Vinta,Ronit Vinta
126,Peer Pressure (feat. Julia Michaels),James Bay
127,Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor
128,comethru,Jeremy Zucker
129,Then We Fall,Fintan
130,Better Off Gone,Logan Mize
131,Eyes On You,Chase Rice
132,Nobody Gotta Know,Why Don't We
133,A Hard Rain's A-Gonna Fall,Laura Marling
134,Good Thing Go,Quinn XCII
135,Meant to Be (feat. Florida Georgia Line),Bebe Rexha
136,Going to California - Remaster,Led Zeppelin
137,Rude,MAGIC!
138,you were good to me,Jeremy Zucker
139,Wagairah Wagairah,Ankur Tewari
140,with you/for you,Prateek Kuhad
141,Way To Break My Heart (feat. Skrillex),Ed Sheeran
142,Khoj (Passing By),When Chai Met Toast
143,You & Me,James TW
144,west texas,Greyson Chance
145,Half Hearted,My Ticket Home
146,This Song Is Called,The Devil Wears Prada
147,In The End,Black Veil Brides
148,We Stitch These Wounds,Black Veil Brides
149,Chop Suey!,System Of A Down
150,Knives and Pens,Black Veil Brides
151,Perfect Weapon,Black Veil Brides
152,If You Can't Hang,Sleeping With Sirens
153,Fallen Angels,Black Veil Brides
154,Rise & Oppose,Diecast
155,Lip Gloss And Black,Atreyu
156,Rebel Love Song,Black Veil Brides
157,Heart Of Fire,Black Veil Brides
158,Love The Way You Lie,Eminem
159,Without Me,Eminem
160,Survival,Eminem
161,Legacy,Eminem
162,Headlights,Eminem
163,Desperation,Eminem
164,Groundhog Day,Eminem
165,We Made You,Eminem
166,Beautiful,Eminem
167,No Love,Eminem
168,Space Bound,Eminem
169,You’re Never Over,Eminem
170,When I'm Gone,Eminem
171,Mockingbird,Eminem
172,Like Toy Soldiers,Eminem
173,Cleanin' Out My Closet,Eminem
174,The Way I Am,Eminem
175,Fast Lane,Bad Meets Evil
176,Just Lose It,Eminem
177,Kill You,Eminem
178,Ass Like That,Eminem
179,Berzerk,Eminem
180,Not Afraid,Eminem
181,Smack That,Akon
182,Sing For The Moment,Eminem
183,My Name Is,Eminem
184,Stan,Eminem
185,The Real Slim Shady,Eminem
186,25 To Life,Eminem
187,Cinderella Man,Eminem
188,Superman,Eminem
189,Lighters,Bad Meets Evil
190,Lucky You (feat. Joyner Lucas),Eminem
191,Greatest,Eminem
192,Good Guy (feat. Jessie Reyez),Eminem
193,Venom - Music From The Motion Picture,Eminem
194,Homicide,Logic
195,Guilty Conscience,Eminem
196,3 a.m.,Eminem
197,Kamikaze,Eminem
198,Eminem Like Toy Soliders - Somewhere Over The Rainbow Mash Up,Adam Clayton
199,iSpy (feat. Lil Yachty),KYLE
200,For the First Time,The Script
201,This Love,Maroon 5
202,Cheerleader - Felix Jaehn Remix Radio Edit,OMI
203,Back to You (feat. Bebe Rexha & Digital Farm Animals),Louis Tomlinson
204,Thunder,Imagine Dragons
205,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled
206,I Like Me Better,Lauv
207,Silence,Marshmello
208,There for You,Martin Garrix
209,How Long,Charlie Puth
210,Congratulations - Remix,Post Malone
211,do re mi (feat. Gucci Mane),blackbear
212,Why,Sabrina Carpenter
213,Body Like A Back Road,Sam Hunt
214,I Fall Apart,Post Malone
215,Go Fuck Yourself,Two Feet
216,Finders Keepers,Mabel
217,Down,Fifth Harmony
