Serial,Song,Artist
1,what makes you beautiful,One direction
2,fight song,Rachel platten
3,the heart wants what it wants,Selena Gomez
4,a whole new world,"Zain malik , zhavia ward"
5,gorgeous,Taylor Swift
6,locked out of heaven,Bruno Mars
7,the less i know the better,Tame Impala
8,animals,Maroon 5
9,when my guitar gently beeps,Beatles
10,attention,Charlie puth
11,time,NF
12,heavenly,Cigarettes after sex
13,other side of blue,Stickboy
14,superposition,Daniel Caesar
15,space oddity,David Bowie
16,photograph,Ed Sheeran
17,rude,Magic
18,someone to stay,Vancouver sleep clinic
19,in my head,Peter Manos
20,yellow,Coldplay
21,you are the reason,Callum Scott
22,dancing on my own,Callum Scott
23,call it dreaming,Iron and wine
24,"flightless bird, american mouth",Iron and wine
25,just the way you are,Boyce Avenue
26,sweet,Cigarettes After Sex
27,bellyache,Billie Eilish
28,what is love?,Frances
29,senorita,Camila cabelo shawn mendes
30,him and i,GEazy
31,come thru,Jeremy Zuckerberg
32,i want to break free,Queen
33,outrunning karma,Alec benjamin
34,slow dancing in a burning room,John Mayer
35,love on the weekend,John Mayer
36,half of my heart,JOHN mayer
37,i want it that way,Backstreet boys
38,shape of my heart,Backstreet boys
39,why not me,Enrique Iglesias
40,everything i do,Bryan Adams
41,summer of 69,Bryan adams
42,forgive me,Bryan adams
43,run to you,Bryan adams
44,in the end,Linkin park
45,numb,Linkin park
46,bleed it out,Linkin park
47,stairway to heaven,Led Zeppelin
48,hotel california,Eagles
49,toto,Africa
50,faint,Linkin park
51,stan,Eminem
52,where'd you go,Fort minor
53,demons,Imagine dragons
54,on top of the world,Imagine dragons
55,all the right moves,One republic
56,apologize,One republic
57,can't stop the feeling,Justin Timberlake
58,mirrors,Justin timberlake
59,amazing,Aerosmith
60,cryin',Aerosmith
61,crazy,Aerosmith
62,beat it,Michael jackson
63,billie jean,Michael jackson
64,smooth criminal,Miachael jackson
65,dangerous,Michael jackson
66,scars to you beautiful,Alesia cara
67,take it easy,Eagles
68,dream on,Aerosmith
69,born to be wild,Steppenwolf
70,sweet emotion,Aerosmith
71,slow ride,Foghat
72,talking to myself,Linkin park
73,one more light,Linkin park
74,iridescent,Linkin park
75,lost in the echo,Linkin park
76,leave out the rest,Linkin park
77,papercut,Linkin park
78,breaking the habit,Linkin park
79,shadow of the day,Linkin park
80,one step closer,Linkin park
81,what i've done,Linkin park
82,crawling,Linkin park
83,burn it down,Linkin park
84,1973,James blunt
85,you're beautiful,James blunt
86,1979,Smashing pumpkins
87,24k magic,Bruno mars
88,alive,Krewella
89,all summer long,Kid rock
90,american idiot,Greenday
91,another love,Tom odell
92,back in black,Ac dc
93,back to you,Salena gomez
94,bang bang,Greenday
95,basket case,Greenday
96,blank space,Taylor swift
97,bohemian rhapsody,Queen
98,burn,Ellie goulding
99,californication,Red hot chilli peppers
100,can't feel my face,Weeknd
101,carry in wayward son,Kansas
102,castle of glass,Linkin park
103,chasing cars,Snow patrol
104,come out and play,The offsprings
105,come with me now,Kongos
106,countin stars,One replublic
107,daughters,John mayer
108,dreaming with a broken heart,John mayer
109,drop it like it's hot,Snoop dogg
110,eastside,Benny bianco
111,enter sandman,Metallica
112,every breath that you take,The police
113,eye of the tiger,Survivor
114,free bird,Lynyrd Skynyrd
115,free falling,John mayer
116,gone gone gone,Philip philips
117,good riddance,Green day
118,good time,Chic
119,gravity,John mayer
120,hall of fame,The script
121,the heart of life,John mayer
122,heartbreak warfare,John mayer
123,heathens,Twenty one pilots
124,hello,Adelle
125,hold back the river,James bay
126,holiday,Greenday
127,how to save a life,The fray
128,hysteria,Muse
129,i guess i just feel.like,John mayer
130,if you could see me now,The script
131,in my blood,Shawn mendes
132,knockin' on heaven's door,Guns n roses
133,loser,Beck
134,live me again,John newmann
135,love me like you do,Ellie goulding
136,maps,Moron 5 xD
137,money run low,The score
138,moth into flame,Metallica
